"ROUTE","DEST. SIGN CODE","DESTINATION                                                                                        SIGN CODE                                                                            MESSAGE","DIR","DIV","DEPOT",,"LOC.                                                                                              CODE","RES. GROUP LOC. CODE","ALIEN GROUP LOC. CODE","EFFECTIVE
PICK CODE"
"M7",1070,"HARLEM","N",,"HALE/MTV",,"0022","0021","1500","D10"
,,"147 ST",,,,,,,,
,,"via 6 AV",,,,,,,,
,,"via AMSTERDAM",,,,,,,,
"M7",1071,"14 ST-6 AV","S",,"HALE/MTV",,"0021","0021","1500","D10"
,,"via COLUMBUS",,,,,,,,
,,"via  7 AV",,,,,,,,
"M7",1074,"106 ST","N",,"HALE/MTV",,"0022","0021","1500","D10"
"M7",1075,"59 ST","S",,"HALE/MTV",,"0021","0021","1500","D10"
"M7",1076,"LENOX-125 ST","N",,"HALE/MTV",,"0022","0021","1500","D10"
"M7",1077,"42 ST","S",,"HALE/MTV",,"0021","0021","1500","D10"
"M7",1079,"23 ST","S",,"HALE/MTV",,"0021","0021","1500","D10"
"M7",8071,"LENOX -125 ST","S",,"HALE/MTV",,"0021","0021","1500","D10"
"M8",1080,"AVENUE D","E",,"QUILL",,"0026","0025","1500",
,,"CROSSTOWN",,,,,,,,
"M8",1081,"WEST ST","W",,"QUILL",,"0025","0025","1500",
,,"CROSSTOWN",,,,,,,,
"M8",1082,"5 AV","E",,"QUILL",,"0026","0025","1500",
"M8",1083,"5 AV","W",,"QUILL",,"0025","0025","1500",
"M9",1092,"V A HOSPITAL","N",,"QUILL",,"0028","0027","1500","C9"
,,"23 ST-1 AV",,,,,,,,
,,"via AVENUE C",,,,,,,,
"M9",1093,"CHATHAM SQ","S",,"QUILL",,"0027","0027","1500",
"M9*",1094,"20 ST-1 AV","N",,"QUILL",,"0028","0027","1500","D10"
,,"via AVENUE C",,,,,,,,
"M9",1095,"CITY HALL","S",,"QUILL",,"0027","0027","1500","C9"
,,"via AVENUE C",,,,,,,,
"M10",1100,"HARLEM","N",,"MTV",,"0030","0030","1500",
,,"159 ST",,,,,,,,
,,"via 8 AV",,,,,,,,
"M10",1104,"116 ST","N",,"MTV",,"0030","0030","1500",
"M10",1106,"145 ST","N",,"MTV",,"0030","0030","1500",
"M10",1108,"125 ST","N",,"MTV",,"0030","0030","1500",
"M10",1109,"59 ST-BROADWAY","S",,"MTV",,"0029","0029","1500","C10"
,,"via CENTRAL PK W.",,,,,,,,
"M10",8101,"125 ST","S",,"MTV",,"0029","0029","1500",
"M11",1110,"RIVERBANK","N",,"MTV/QUILL",,"0036","0035","1500","A8"
,,"145 ST",,,,,,,,
,,"via 10 AV",,,,,,,,
"M11",1111,"WEST VILLAGE","S",,"MTV/QUILL",,"0035","0035","1500","A8"
,,"ABINGDON SQ",,,,,,,,
,,"via 9 AV",,,,,,,,
"M11",1112,"WEST HARLEM","N",,"MTV/QUILL",,"0036","0035","1500","A8"
,,"135 ST",,,,,,,,
,,"via 10 AV",,,,,,,,
"M11",1113,"34 ST","S",,"MTV/QUILL",,"0035","0035","1500","A8"
"M11",1114,"110 ST","N",,"MTV/QUILL",,"0036","0035","1500","A8"
"M11",1116,"125 ST","N",,"MTV/QUILL",,"0036","0035","1500","A8"
"M11",1118,"133 ST-BROADWAY","N",,"MTV/QUILL",,"0036","0035","1500","A8"
"M14D",1140,"LOWER E. SIDE","E",,"QUILL",,"0038","0038","1500",
,,"DELANCY-FDR",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M14A",1141,"CHELSEA PIERS","W",,"QUILL",,"0039","0039","1500","B8"
,,"11 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M14A",1144,"LOWER E. SIDE","E",,"QUILL",,"0040","0040","1500",
,,"GRAND-FDR",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M14D",1147,"CHELSEA PIERS","W",,"QUILL",,"0037","0037","1500",
,,"11 AV",,,,,,,,
,,"CROSSTOWN",,,,,,,,
"M14A",8141,"ABINGDON SQ","W",,"QUILL",,"0039","0039","1500",
,,"CROSSTOWN",,,,,,,,
"M14",8147,"UNION SQ","W",,"QUILL",,"0031","0031","1500",
"M14",8148,"1 AV","E",,"QUILL",,"0520","0520","1500","B8"
"M14",8149,"8 AV","W",,"QUILL",,"0031","0031","1500",
"M15",1150,"EAST HARLEM","N",,126,,"0042","0042","1500",
,,"125 ST",,,,,,,,
,,"via 1 AV",,,,,,,,
