DEPOT,AUTH_ID,PASS_NUMBER,ROUTE,RUN_NUMBER,SERV_ID,DATE,TIMESTAMP
SPCT,RB,B01515,B103,329,0,2011-11-11,2011-11-10 20:03:18
SPCT,RB,B04906,SPCT,010,2,2011-11-11,2011-11-10 20:03:19
SPCT,RB,B04906,SPCT,006,,2011-11-11,2011-11-03 10:34:24
SPCT,RB,B05904,BM2,207,0,2011-11-11,2011-11-10 20:03:10
SPCT,RB,B05904,SPCT,015,,2011-11-11,2011-11-03 10:34:40
SPCT,RB,B01526,B103,305,0,2011-11-11,2011-11-10 20:02:59
SPCT,RB,B04893,SPCT,011,2,2011-11-11,2011-11-10 20:03:19
SPCT,RB,B04893,SPCT,005,,2011-11-11,2011-11-03 10:34:23
SPCT,RB,B01527,B100,004,0,2011-11-11,2011-11-10 20:03:02
SPCT,RB,B04901,B100,044,0,2011-11-11,2011-11-10 20:03:23
SPCT,RB,B01528,BM4,403,0,2011-11-11,2011-11-10 20:03:01
SPCT,RB,B01531,BM5,503,0,2011-11-11,2011-11-10 20:03:07
SPCT,RB,B01532,BM3,305,0,2011-11-11,2011-11-10 20:03:03
SPCT,RB,B04411,BM1,114,0,2011-11-11,2011-11-10 20:03:18
SPCT,RB,B01534,BM2,209,0,2011-11-11,2011-11-10 20:03:13
SPCT,RB,B01535,SPCT,LR1,0,2011-11-11,2011-11-10 20:03:04
SPCT,RB,B06115,B103,325,0,2011-11-11,2011-11-10 20:03:16
SPCT,RB,B05802,BM2,241,0,2011-11-11,2011-11-10 20:03:20
SPCT,RB,B01538,BM2,203,0,2011-11-11,2011-11-10 20:03:03
SPCT,RB,B01539,SPCT,001,2,2011-11-11,2011-11-10 10:26:49
SPCT,RB,B01539,SPCT,001,,2011-11-11,2011-11-03 10:34:16
SPCT,RB,B01541,BM3,312,0,2011-11-11,2011-11-10 20:03:17
SPCT,RB,B01542,BM4,441,0,2011-11-11,2011-11-10 20:03:21
SPCT,RB,B06119,B103,318,0,2011-11-11,2011-11-03 10:09:57
SPCT,RB,B01545,B103,322,0,2011-11-11,2011-11-10 20:03:15
SPCT,RB,B05282,B103,349,0,2011-11-11,2011-11-10 20:03:24
SPCT,RB,B05815,B103,311,0,2011-11-11,2011-11-10 20:03:09
SPCT,RB,B01708,SPCT,035,,2011-11-11,2011-11-03 10:34:20
SPCT,RB,B04164,B103,344,0,2011-11-11,2011-11-10 20:03:21
SPCT,RB,B01553,BM1,112,0,2011-11-11,2011-11-10 20:03:16
GUNT,OA,035809,BX402,045,0,2011-11-11,2011-11-10 19:06:09
GUNT,OA,037757,BX12,025,0,2011-11-11,2011-11-10 19:06:13
GUNT,OA,037699,BX12,023,0,2011-11-11,2011-11-10 19:06:12
GUNT,OA,037615,BX22,034,0,2011-11-11,2011-11-10 19:06:12
GUNT,OA,037772,GUNT,002,,2011-11-11,2011-11-04 20:23:51
GUNT,OA,037772,GUNT,006,2,2011-11-11,2011-11-10 19:06:13
GUNT,OA,037635,GUNT,31,,2011-11-11,2011-11-10 08:54:12
GUNT,OA,037635,SBS12,227,0,2011-11-11,2011-11-10 19:06:12
GUNT,OA,037684,BX44A,128,0,2011-11-11,2011-11-10 19:06:12
KBGT,OA,037703,BX7,124,0,2011-11-11,2011-11-08 08:15:59
KBGT,OA,037759,BX41,029,0,2011-11-11,2011-11-10 19:26:36
KBGT,OA,037718,BX3,127,0,2011-11-11,2011-11-10 19:26:50
KBGT,OA,037686,BX1X2,071,0,2011-11-11,2011-11-10 19:26:53
KBGT,OA,037783,BX9,039,0,2011-11-11,2011-11-10 19:26:43
KBGT,OA,037736,BX3,122,0,2011-11-11,2011-11-10 19:26:39
KBGT,OA,037706,BX9,043,0,2011-11-11,2011-11-10 19:26:50
KBGT,OA,037696,KBGT,55,,2011-11-11,2011-11-10 12:25:13
KBGT,OA,037696,M100,329,0,2011-11-11,2011-11-10 19:26:48
KBGT,OA,037666,KBGT,010,,2011-11-11,2011-11-04 07:05:26
KBGT,OA,037712,KBGT,54,,2011-11-11,2011-11-10 12:25:10
KBGT,OA,037712,BX1X2,061,0,2011-11-11,2011-11-10 19:26:40
MTVT,OA,037646,M11,325,0,2011-11-11,2011-11-10 19:08:31
MTVT,OA,037668,M2,136,0,2011-11-11,2011-11-10 19:08:31
MJQT,OA,037650,M34,030,0,2011-11-11,2011-11-10 19:53:28
MJQT,OA,038039,M104,040,0,2011-11-11,2011-11-10 19:53:41
LGAT,RB,B03045,Q67,709,0,2011-11-11,2011-11-10 23:58:37
LGAT,RB,B02841,Q69,903,0,2011-11-11,2011-11-10 23:58:19
LGAT,RB,B02844,LGAT,MN3,0,2011-11-11,2011-11-10 23:59:00
LGAT,RB,B02844,Q47,741,0,2011-11-11,2011-11-04 12:29:03
LGAT,RB,B02844,LGAT,002,0,2011-11-11,2011-11-04 12:19:31
LGAT,RB,B02844,QM24,481,0,2011-11-11,2011-11-04 12:19:31
LGAT,RB,B02845,Q23,302,0,2011-11-11,2011-11-05 08:44:38
LGAT,RB,B02847,QM12,202,0,2011-11-11,2011-11-10 23:58:31
LGAT,RB,B02849,Q23,303,0,2011-11-11,2011-11-10 23:58:14
LGAT,RB,B02849,LGAT,001,0,2011-11-11,2011-11-04 10:15:55
LGAT,RB,B02849,Q23,304,0,2011-11-11,2011-11-04 09:41:28
LGAT,RB,B02852,Q53,301,0,2011-11-11,2011-11-10 11:11:04
LGAT,RB,B02853,Q18,881,0,2011-11-11,2011-11-10 23:58:29
LGAT,RB,B02853,Q100,041,0,2011-11-11,2011-11-10 23:58:54
LGAT,RB,B02854,QM24,415,0,2011-11-11,2011-11-10 23:58:48
LGAT,RB,B02855,LGAT,MN2,0,2011-11-11,2011-11-10 23:58:10
LGAT,RB,B02855,LGAT,001,0,2011-11-11,2011-11-04 12:19:05
