geometry,base_name,description
"POLYGON ((-73.91626313714147 40.72348263371443 0,-73.91585131388642 40.72358246488533 0,-73.915338341582 40.72256312082775 0,-73.91663189589494 40.72215953439107 0,-73.91626313714147 40.72348263371443 0))",GA_Lot,
"POLYGON ((-73.83419553779075 40.867055530589255 0,-73.83288543421057 40.8675090152655 0,-73.83191849524135 40.86589724449443 0,-73.8315005879556 40.865267978346196 0,-73.83312490060034 40.86473222934079 0,-73.83353838577729 40.8645443128534 0,-73.83346530409452 40.864465388235196 0,-73.83390262989249 40.86432936733734 0,-73.8346542122306 40.86563057596165 0,-73.83376986054625 40.86591176569131 0,-73.83409963932334 40.86648638986878 0,-73.83439795125722 40.86699330431661 0,-73.83419553779075 40.867055530589255 0))",GH,
"POLYGON ((-73.790132437098094 40.699579964216042 0,-73.790008337772377 40.699617725202998 0,-73.789886668055047 40.699438574001299 0,-73.789877191879782 40.699429180666122 0,-73.789330479609617 40.699794248553452 0,-73.789318612364056 40.699782481428947 0,-73.789316238825606 40.699780128022603 0,-73.789543178505781 40.699995399668438 0,-73.789129947714784 40.700205092918452 0,-73.78953566636342 40.70057789428477 0,-73.790080713840666 40.700303506545062 0,-73.791165795018415 40.701785851160118 0,-73.791300581091662 40.701730116310948 0,-73.791298942214468 40.701723629858577 0,-73.791531797362282 40.701531649168047 0,-73.790132437098094 40.699579964216042 0))",JA,
"POLYGON ((-73.7911898 40.70181, -73.7907016 40.7011552, -73.7904603 40.7008278, -73.7902189 40.7005025, -73.789956 40.7006489, -73.7897146 40.7007831, -73.7899721 40.7010592, -73.7902564 40.7013413, -73.7908197 40.7019055, -73.7911898 40.70181))",JA_Lot,
"POLYGON ((-74.00352093340192 40.65147842409182 0,-74.00213667266024 40.65278934695233 0,-73.9995238368204 40.651264395988896 0,-73.9997493344252 40.65105994457911 0,-73.99898232665662 40.65059761817039 0,-73.9985170447399 40.650054644027314 0,-73.99844258353903 40.64988055591692 0,-73.9986366678262 40.649752846254074 0,-73.99868370603468 40.64972660772455 0,-73.99921819569542 40.65021023006075 0,-73.99947671654616 40.650398426340004 0,-73.99977755479159 40.650581687593835 0,-74.0008870498772 40.65124742464888 0,-74.0010596651749 40.651284405275554 0,-74.00140965292232 40.65120424311605 0,-74.00156969566325 40.651083969332326 0,-74.00165985601008 40.650945460998315 0,-74.00167069501154 40.650724308998925 0,-74.00186112271138 40.650719244192814 0,-74.00203609234308 40.650609775064524 0,-74.00352093340192 40.65147842409182 0))",JG,
"POLYGON ((-73.774191601673266 40.660295587203912 0,-73.772841449319031 40.660951119814932 0,-73.772608063128473 40.661054355704877 0,-73.773212890877986 40.661842425720337 0,-73.773440940657636 40.661739684223022 0,-73.773602732447159 40.661956273046279 0,-73.775057866253277 40.661284720184852 0,-73.774191601673266 40.660295587203912 0))",JK,
"POLYGON ((-73.77370704837014 40.660337688289204 0,-73.77345007422895 40.66000292901703 0,-73.7720666962256 40.660506269806646 0,-73.77239272052245 40.66093416797487 0,-73.77370704837014 40.660337688289204 0))",JK_Lot,
"POLYGON ((-73.9116089053162 40.869037345365598 0,-73.911027248453493 40.869919164112162 0,-73.911612992263528 40.870980943706947 0,-73.911785587104433 40.871064563166833 0,-73.913768220262654 40.871171119781764 0,-73.914478573121698 40.870173987375452 0,-73.9116089053162 40.869037345365598 0))",KB,
"POLYGON ((-73.91247174299207 40.868260141959794 0,-73.91260113650127 40.868065654017876 0,-73.91254656134271 40.867973957573646 0,-73.91195333359268 40.86773605241348 0,-73.91176371542909 40.8679848417241 0,-73.91247174299207 40.868260141959794 0))",KB_Lot,
"POLYGON ((-73.884165300793768 40.765257952256192 0,-73.882519893762606 40.765441406369867 0,-73.882852183064841 40.767165768465517 0,-73.884500557692675 40.766877807371017 0,-73.884165300793768 40.765257952256192 0))",LG,
